#Aegean version 2.3.0-(2022-08-17)
# on dataset: /mnt/storage-work/wushaofeng/work/sim/ska1-low/SDP-39/sim2/QA_new/aegean/CIP_t1_SDP-39_sim2_noise1e-5_fov4.5_nmoment3_cip.taylor.0.restored.fits
#isl,src   bkg       rms         RA           DEC         RA         err         DEC        err         Peak      err     S_int     err        a    err    b    err     pa   err    flags
#         Jy/beam   Jy/beam                               deg        deg         deg        deg       Jy/beam   Jy/beam    Jy       Jy         ''    ''    ''    ''    deg   deg   ZWNCPES
#============================================================================================================================================================================================
(0072,00) -0.000016  0.000415 23:06:00.20  -10:15:36.07 346.5008224  0.0000266 -10.2600184  0.0000256  0.016551  0.000401  0.016739  0.000421  8.66  0.04  8.03  0.04   61.1   0.2   0000000
(0073,00) -0.000024  0.000453 23:06:30.30  -10:15:31.28 346.6262306  0.0000412 -10.2586893  0.0000409  0.011475  0.000449  0.010979  0.000445  8.23  0.06  8.00  0.06   61.9   0.9   0000000
(0074,00) -0.000023  0.000690 23:14:37.80  -10:15:21.09 348.6574989  0.0000514 -10.2558592  0.0000477  0.014111  0.000682  0.012748  0.000639  8.31  0.08  7.48  0.07   60.8   0.3   0000000
(0076,00) -0.000023  0.000529 23:17:34.18  -10:15:04.13 349.3924111  0.0000267 -10.2511471  0.0000266  0.021107  0.000511  0.022462  0.000569  8.61  0.04  8.50  0.05  -32.8   1.3   0000000
(0077,00) -0.000035  0.000612 23:11:01.83  -10:15:09.48 347.7576089  0.0000847 -10.2526321  0.0000880  0.007675  0.000587  0.008599  0.000680  8.97  0.12  8.59  0.13  -26.9   1.2   0000000
(0078,00) -0.000026  0.000427 23:04:34.31  -10:14:55.99 346.1429499  0.0000691 -10.2488873  0.0000649  0.006483  0.000418  0.006007  0.000404  8.49  0.12  7.50  0.10   59.2   0.4   0000000
(0079,00)  0.000005  0.000574 23:09:35.58  -10:15:02.29 347.3982395  0.0001255 -10.2506349  0.0001295  0.004803  0.000552  0.005179  0.000624  8.77  0.21  8.45  0.23  -32.3   2.1   0000000
(0080,00) -0.000011  0.000624 23:10:35.20  -10:14:29.33 347.6466741  0.0000856 -10.2414816  0.0000844  0.007890  0.000609  0.008389  0.000667  8.66  0.12  8.44  0.12   64.2   2.1   0000000
(0081,00)  0.000001  0.000549 23:11:13.38  -10:14:16.19 347.8057560  0.0000070 -10.2378302  0.0000073  0.077662  0.000514  0.078938  0.000543  8.57  0.01  8.15  0.01   61.6   0.1   0000000
(0082,00) -0.000019  0.000422 23:07:03.64  -10:14:08.41 346.7651508  0.0001551 -10.2356705  0.0001381  0.003036  0.000411  0.003029  0.000428  9.15  0.27  7.49  0.20   59.3   0.5   0000000
(0083,00)  0.000006  0.000557 23:09:39.46  -10:14:02.27 347.4144182  0.0000300 -10.2339630  0.0000286  0.019976  0.000538  0.020697  0.000579  8.80  0.05  8.09  0.04   60.5   0.2   0000000
(0084,00) -0.000033  0.000527 23:14:21.62  -10:13:45.54 348.5900632  0.0000759 -10.2293163  0.0000660  0.007759  0.000516  0.007539  0.000519  9.00  0.12  7.43  0.09   61.8   0.3   0000000
(0085,00) -0.000024  0.000509 23:10:26.80  -10:13:50.28 347.6116759  0.0001308 -10.2306331  0.0001394  0.004046  0.000495  0.004309  0.000548  8.92  0.19  8.21  0.23  -29.3   1.0   0000000
(0086,00) -0.000025  0.000574 23:13:28.83  -10:13:13.96 348.3701352  0.0000435 -10.2205435  0.0000426  0.014367  0.000558  0.015426  0.000616  8.71  0.06  8.48  0.05   65.7   1.0   0000000
(0087,00) -0.000017  0.000463 23:07:34.46  -10:13:06.97 346.8935935  0.0001247 -10.2186031  0.0001277  0.004026  0.000439  0.004763  0.000540  9.08  0.19  8.96  0.20  -28.7   5.4   0000000
(0088,00) -0.000027  0.000787 23:16:24.48  -10:12:41.61 349.1020028  0.0000516 -10.2115596  0.0000526  0.016567  0.000772  0.018091  0.000877  8.81  0.08  8.53  0.08  -29.8   1.0   0000000
(0089,00) -0.000031  0.000557 23:17:05.27  -10:12:37.06 349.2719544  0.0000131 -10.2102934  0.0000117  0.047805  0.000512  0.048256  0.000536  8.55  0.02  8.12  0.02   62.2   0.1   0000000
(0090,00) -0.000012  0.000691 23:15:12.43  -10:12:20.44 348.8017750  0.0001315 -10.2056775  0.0001379  0.005683  0.000660  0.006721  0.000811  9.35  0.19  8.70  0.22  -28.6   1.1   0000000
(0091,00) -0.000020  0.000766 23:15:56.32  -10:12:14.41 348.9846806  0.0000378 -10.2040028  0.0000354  0.022179  0.000750  0.022543  0.000790  8.73  0.06  8.01  0.05   61.5   0.3   0000000
(0092,00) -0.000030  0.000569 23:18:32.50  -10:11:53.60 349.6353983  0.0000154 -10.1982229  0.0000160  0.039449  0.000583  0.041905  0.000645  8.59  0.03  8.51  0.03   58.2   1.0   0000000
(0093,00) -0.000032  0.000750 23:15:28.57  -10:11:51.14 348.8690283  0.0001373 -10.1975390  0.0001202  0.005887  0.000736  0.005347  0.000688  8.55  0.20  7.30  0.15   63.7   0.6   0000000
(0094,00) -0.000014  0.000364 23:05:51.73  -10:11:50.49 346.4655366  0.0000181 -10.1973597  0.0000180  0.021333  0.000338  0.021670  0.000356  8.56  0.03  8.16  0.02   63.0   0.2   0000000
(0096,00) -0.000034  0.000551 23:02:31.75  -10:11:31.97 345.6322896  0.0000342 -10.1922126  0.0000320  0.017449  0.000540  0.017576  0.000559  8.74  0.05  7.93  0.04   65.3   0.2   0000000
(0097,00) -0.000017  0.000596 23:10:41.21  -10:11:43.53 347.6716914  0.0000122 -10.1954243  0.0000123  0.051550  0.000506  0.052241  0.000536  8.48  0.02  8.22  0.02   62.3   0.2   0000000
(0098,00) -0.000012  0.000516 23:09:09.19  -10:11:28.08 347.2882763  0.0000013 -10.1911322  0.0000037  0.128712  0.000343  0.130598  0.000348  8.51 -1.00  8.19 -1.00   61.7   0.1   0000000
(0099,00) -0.000023  0.000576 23:04:14.70  -10:11:19.20 346.0612585  0.0000104 -10.1886678  0.0000095  0.059360  0.000747  0.060877  0.000781  8.60  0.02  8.20  0.01   61.1   0.1   0000000
